Sample ID,Pressure (PSI),Welding Time (ms),Angle (Deg),Force (N),Current (A),Thickness A (mm),Thickness B (mm),Material,PullTest (N),NuggetDiameter (mm),Category,Comments,Thickness A+B (mm),Thickness_min (mm),F_pull_physical
115,80,800,0,115.98,3086.29,0.633,0.629,AISI 1010 carbon steel,2809.9,3.44,Good,,1.262,0.629,1731.0301184985906
400,60,400,15,94.56,3651.47,0.613,0.608,AISI 1010 carbon steel,1775.7,2.37,Bad,,1.221,0.608,1673.2373800431526
449,60,1200,15,95.42,3725.61,0.615,0.61,AISI 1010 carbon steel,2976.8,3.66,Good,,1.225,0.61,1678.7414503722418
239,60,1000,15,77.02,4210.64,0.624,0.625,AISI 1010 carbon steel,3216.0,3.66,Good,,1.249,0.624,1717.2699426758668
146,80,600,0,107.67,2936.65,0.62,0.62,AISI 1010 carbon steel,2744.7,3.65,Good,,1.24,0.62,1706.2618020176888
456,60,1200,15,95.74,3401.76,0.616,0.621,AISI 1010 carbon steel,3049.1,4.44,Good,,1.237,0.616,1695.2536613595103
184,80,600,0,108.77,3078.48,0.637,0.633,AISI 1010 carbon steel,2731.5,3.29,Good,,1.27,0.633,1742.038259156769
453,60,1200,15,95.61,3662.76,0.614,0.616,AISI 1010 carbon steel,3152.6,4.48,Good,,1.23,0.614,1689.7495910304208
134,80,800,0,114.71,2983.72,0.636,0.648,AISI 1010 carbon steel,2834.4,3.72,Good,,1.284,0.636,1750.294364650403
268,60,1000,15,74.11,4072.34,0.641,0.639,AISI 1010 carbon steel,3053.3,3.68,Good,,1.28,0.639,1758.5504701440373
243,60,1000,15,75.25,3474.3,0.627,0.637,AISI 1010 carbon steel,3228.6,3.85,Good,,1.264,0.627,1725.526048169501
255,60,1000,15,73.29,4144.76,0.63,0.64,AISI 1010 carbon steel,3167.0,3.3,Good,,1.27,0.63,1733.782153663135
109,80,800,0,115.8,3371.29,0.638,0.632,AISI 1010 carbon steel,2580.8,3.75,Good,,1.27,0.632,1739.2862239922247
37,60,1000,0,77.29,3591.63,0.642,0.642,AISI 1010 carbon steel,3327.9,3.72,Good,,1.284,0.642,1766.8065756376711
176,80,600,0,108.45,3701.99,0.64,0.634,AISI 1010 carbon steel,2768.6,3.6,Good,,1.274,0.634,1744.7902943213132
399,60,400,15,94.83,3905.47,0.617,0.624,AISI 1010 carbon steel,2870.9,3.48,Good,,1.241,0.617,1698.0056965240544
258,60,1000,15,73.4,3812.32,0.641,0.637,AISI 1010 carbon steel,3188.5,3.9,Good,,1.278,0.637,1753.046399814948
172,80,600,0,108.09,3905.03,0.632,0.633,AISI 1010 carbon steel,2803.3,3.69,Good,,1.265,0.632,1739.2862239922247
478,60,1200,0,98.02,2591.95,0.631,0.617,AISI 1010 carbon steel,1720.7,2.62,Explode,,1.248,0.617,1698.0056965240544
297,60,800,15,74.82,3017.54,0.622,0.622,AISI 1010 carbon steel,3016.2,3.73,Good,,1.244,0.622,1711.7658723467775
291,60,800,15,75.27,4413.27,0.628,0.623,AISI 1010 carbon steel,3250.1,4.03,Good,,1.251,0.623,1714.5179075113228
423,60,400,15,95.84,2614.42,0.628,0.626,AISI 1010 carbon steel,2836.8,3.59,Good,,1.254,0.626,1722.774013004956
193,60,400,0,91.98,2901.3,0.638,0.642,AISI 1010 carbon steel,2774.6,3.23,Good,,1.28,0.638,1755.798434979492
116,80,800,0,116.04,3104.63,0.633,0.64,AISI 1010 carbon steel,2643.0,3.07,Good,,1.273,0.633,1742.038259156769
278,60,1000,15,79.73,3791.51,0.62,0.621,AISI 1010 carbon steel,2922.3,3.68,Good,,1.241,0.62,1706.2618020176888
114,80,800,0,115.99,3034.59,0.646,0.651,AISI 1010 carbon steel,3062.9,3.28,Good,,1.2970000000000002,0.646,1777.8147162958494
4,95,200,0,16.57,1321.93,0.912,0.924,AISI 1010 carbon steel,2350.4,2.76,Bad,DOE,1.836,0.912,2509.856070064729
240,60,1000,15,76.94,3456.43,0.634,0.633,AISI 1010 carbon steel,3232.8,3.5,Good,,1.267,0.633,1742.038259156769
364,60,600,15,95.1,4541.95,0.628,0.624,AISI 1010 carbon steel,3040.8,3.49,Good,,1.252,0.624,1717.2699426758668
464,60,1200,15,96.28,3085.18,0.666,0.619,AISI 1010 carbon steel,3070.1,3.65,Good,,1.285,0.619,1703.509766853144
168,80,600,0,108.17,3725.15,0.64,0.631,AISI 1010 carbon steel,2531.8,3.0,Good,,1.271,0.631,1736.5341888276796
472,60,1200,0,97.79,3940.55,0.616,0.629,AISI 1010 carbon steel,2730.3,2.93,Good,,1.245,0.616,1695.2536613595103
385,60,600,15,94.93,3454.44,0.619,0.623,AISI 1010 carbon steel,3131.7,3.47,Explode,,1.242,0.619,1703.509766853144
56,80,1000,0,102.48,3816.83,0.635,0.634,AISI 1010 carbon steel,3002.5,3.75,Good,,1.269,0.634,1744.7902943213132
265,60,1000,15,74.04,4658.6,0.637,0.637,AISI 1010 carbon steel,3152.0,3.7,Good,,1.274,0.637,1753.046399814948
205,60,400,0,93.15,3342.08,0.642,0.635,AISI 1010 carbon steel,2933.7,3.41,Good,,1.277,0.635,1747.5423294858583
3,95,1500,0,123.36,1063.83,0.944,0.927,AISI 1010 carbon steel,4293.8,4.43,Good,DOE,1.871,0.927,2551.136597532898
67,80,1000,0,104.09,3323.5,0.634,0.617,AISI 1010 carbon steel,2756.7,3.42,Good,,1.251,0.617,1698.0056965240544
93,80,800,0,115.36,3487.64,0.638,0.65,AISI 1010 carbon steel,2783.6,3.41,Good,,1.288,0.638,1755.798434979492
113,80,800,0,115.92,3435.47,0.632,0.632,AISI 1010 carbon steel,2511.4,3.02,Good,,1.264,0.632,1739.2862239922247
29,95,1500,15,122.48,1252.44,0.947,0.957,AISI 1010 carbon steel,5158.6,3.7,Explode,DOE,1.904,0.947,2606.1773008237915
411,60,400,15,95.25,3013.54,0.625,0.63,AISI 1010 carbon steel,3111.9,4.05,Good,,1.255,0.625,1720.021977840412
169,80,600,0,108.59,3415.89,0.634,0.636,AISI 1010 carbon steel,2678.9,3.37,Good,,1.27,0.634,1744.7902943213132
300,60,800,15,80.69,4852.11,0.613,0.622,AISI 1010 carbon steel,2746.5,3.87,Good,,1.235,0.613,1686.9975558658762
233,60,400,0,92.69,2970.43,0.638,0.632,AISI 1010 carbon steel,2896.6,3.55,Good,,1.27,0.632,1739.2862239922247
173,80,600,0,108.36,4029.88,0.636,0.631,AISI 1010 carbon steel,2849.4,3.44,Good,,1.267,0.631,1736.5341888276796
92,80,800,0,115.4,3074.57,0.645,0.635,AISI 1010 carbon steel,2726.7,3.53,Good,,1.28,0.635,1747.5423294858583
8,35,200,0,6.58,1171.55,0.931,0.922,AISI 1010 carbon steel,1836.4,2.64,Bad,DOE,1.853,0.922,2537.3764217101757
275,60,1000,15,79.86,4069.81,0.611,0.62,AISI 1010 carbon steel,3053.9,3.67,Good,,1.231,0.611,1681.4934855367865
104,80,800,0,115.94,3088.52,0.628,0.635,AISI 1010 carbon steel,2578.4,2.99,Good,,1.263,0.628,1728.2780833340457
50,60,1000,0,77.92,3050.42,0.648,0.64,AISI 1010 carbon steel,3229.2,3.92,Good,,1.288,0.64,1761.3025053085817
441,60,1200,15,94.89,3229.54,0.618,0.618,AISI 1010 carbon steel,3156.2,3.88,Good,,1.236,0.618,1700.757731688599
14,95,1500,0,124.16,1078.29,0.925,0.93,AISI 1010 carbon steel,3970.1,3.94,Good,DOE,1.855,0.925,2545.6325272038093
66,80,1000,0,104.78,3866.08,0.628,0.63,AISI 1010 carbon steel,2618.5,3.19,Good,,1.258,0.628,1728.2780833340457
290,60,800,15,75.17,3682.89,0.625,0.628,AISI 1010 carbon steel,3175.3,3.66,Good,,1.253,0.625,1720.021977840412
324,60,800,15,79.24,3432.96,0.632,0.624,AISI 1010 carbon steel,3025.2,3.58,Explode,,1.256,0.624,1717.2699426758668
294,60,800,15,74.94,3094.08,0.621,0.621,AISI 1010 carbon steel,3050.9,3.68,Good,,1.242,0.621,1709.013837182233
38,60,1000,0,77.18,3085.18,0.644,0.639,AISI 1010 carbon steel,3270.8,4.4,Good,,1.283,0.639,1758.5504701440373
374,60,600,15,93.57,4234.67,0.622,0.613,AISI 1010 carbon steel,3097.6,3.43,Explode,,1.235,0.613,1686.9975558658762
228,60,400,0,92.91,3124.51,0.619,0.642,AISI 1010 carbon steel,2808.7,3.53,Good,,1.261,0.619,1703.509766853144
180,80,600,0,108.2,3040.82,0.629,0.625,AISI 1010 carbon steel,2802.1,3.85,Good,,1.254,0.625,1720.021977840412
144,80,600,0,107.83,2973.32,0.618,0.619,AISI 1010 carbon steel,2707.6,3.38,Good,,1.237,0.618,1700.757731688599
39,60,1000,0,77.14,3447.46,0.638,0.627,AISI 1010 carbon steel,3145.4,3.88,Good,,1.265,0.627,1725.526048169501
125,80,800,0,114.64,3127.81,0.637,0.644,AISI 1010 carbon steel,2963.0,3.44,Good,,1.281,0.637,1753.046399814948
157,80,600,0,107.87,3192.58,0.642,0.646,AISI 1010 carbon steel,2583.2,2.83,Good,,1.288,0.642,1766.8065756376711
448,60,1200,15,95.27,3647.7,0.621,0.62,AISI 1010 carbon steel,3164.0,3.72,Good,,1.241,0.62,1706.2618020176888
350,60,600,15,91.81,3526.39,0.626,0.622,AISI 1010 carbon steel,2854.1,3.52,Good,,1.248,0.622,1711.7658723467775
387,60,400,15,95.4,3564.23,0.625,0.621,AISI 1010 carbon steel,3050.3,3.7,Good,,1.246,0.621,1709.013837182233
452,60,1200,15,95.62,3031.75,0.619,0.626,AISI 1010 carbon steel,2897.8,3.63,Good,,1.245,0.619,1703.509766853144
455,60,1200,15,95.64,3435.97,0.624,0.612,AISI 1010 carbon steel,2927.7,3.86,Good,,1.236,0.612,1684.2455207013315
220,60,400,0,93.0,3292.3,0.633,0.631,AISI 1010 carbon steel,2604.1,3.22,Good,,1.264,0.631,1736.5341888276796
332,60,800,15,82.25,3570.01,0.63,0.633,AISI 1010 carbon steel,2835.0,3.57,Good,,1.263,0.63,1733.782153663135
165,80,600,0,108.34,3983.52,0.635,0.638,AISI 1010 carbon steel,2735.7,3.39,Good,,1.273,0.635,1747.5423294858583
308,60,800,15,79.81,3138.79,0.621,0.627,AISI 1010 carbon steel,3196.9,3.65,Explode,,1.248,0.621,1709.013837182233
495,60,1200,0,97.9,3914.27,0.631,0.621,AISI 1010 carbon steel,3100.0,3.56,Good,,1.252,0.621,1709.013837182233
313,60,800,15,78.71,3510.74,0.632,0.63,AISI 1010 carbon steel,3236.9,3.45,Good,,1.262,0.63,1733.782153663135
84,80,1000,0,106.71,3342.59,0.641,0.622,AISI 1010 carbon steel,2741.1,3.35,Good,,1.263,0.622,1711.7658723467775
231,60,400,0,92.65,3587.79,0.637,0.627,AISI 1010 carbon steel,2678.9,3.58,Good,,1.264,0.627,1725.526048169501
132,80,800,0,114.38,3430.46,0.634,0.639,AISI 1010 carbon steel,2804.5,3.52,Good,,1.273,0.634,1744.7902943213132
87,80,800,0,114.86,3745.87,0.634,0.63,AISI 1010 carbon steel,2890.6,3.75,Good,,1.264,0.63,1733.782153663135
235,60,400,0,92.76,3707.1,0.628,0.634,AISI 1010 carbon steel,2616.7,3.07,Bad,,1.262,0.628,1728.2780833340457
183,80,600,0,108.32,3040.25,0.634,0.629,AISI 1010 carbon steel,2783.0,3.63,Good,,1.263,0.629,1731.0301184985906
195,60,400,0,92.05,3424.44,0.631,0.635,AISI 1010 carbon steel,2912.8,3.4,Good,,1.266,0.631,1736.5341888276796
397,60,400,15,95.04,3112.93,0.621,0.622,AISI 1010 carbon steel,3049.1,3.12,Good,,1.243,0.621,1709.013837182233
282,60,1000,15,77.07,3727.46,0.622,0.612,AISI 1010 carbon steel,3001.9,4.24,Good,,1.234,0.612,1684.2455207013315
346,60,600,15,90.18,3570.01,0.629,0.615,AISI 1010 carbon steel,3032.4,3.56,Good,,1.244,0.615,1692.5016261949654
404,60,400,15,94.53,3392.65,0.628,0.613,AISI 1010 carbon steel,3030.6,3.26,Good,,1.241,0.613,1686.9975558658762
391,60,400,15,95.19,3868.3,0.619,0.647,AISI 1010 carbon steel,2957.0,3.62,Explode,,1.266,0.619,1703.509766853144
102,80,800,0,115.75,3398.72,0.629,0.628,AISI 1010 carbon steel,2757.8,3.45,Good,,1.257,0.628,1728.2780833340457
407,60,400,15,94.9,3500.93,0.624,0.628,AISI 1010 carbon steel,2927.1,3.65,Good,,1.252,0.624,1717.2699426758668
55,60,1000,0,82.83,2442.31,0.637,0.637,AISI 1010 carbon steel,3311.1,3.71,Good,,1.274,0.637,1753.046399814948
296,60,800,15,74.9,3263.44,0.629,0.623,AISI 1010 carbon steel,3152.6,3.56,Good,,1.252,0.623,1714.5179075113228
123,80,800,0,112.38,3333.32,0.632,0.665,AISI 1010 carbon steel,2770.0,2.95,Good,,1.2970000000000002,0.632,1739.2862239922247
394,60,400,15,95.52,3320.39,0.626,0.622,AISI 1010 carbon steel,2672.3,3.36,Good,,1.248,0.622,1711.7658723467775
426,60,400,15,96.24,3444.47,0.634,0.617,AISI 1010 carbon steel,2955.8,3.42,Good,,1.251,0.617,1698.0056965240544
112,80,800,0,115.61,3100.19,0.634,0.635,AISI 1010 carbon steel,2594.0,3.28,Good,,1.269,0.634,1744.7902943213132
413,60,400,15,95.48,2968.69,0.627,0.628,AISI 1010 carbon steel,2726.7,2.9,Good,,1.255,0.627,1725.526048169501
371,60,600,15,93.65,3787.88,0.621,0.631,AISI 1010 carbon steel,2979.2,3.37,Explode,,1.252,0.621,1709.013837182233
325,60,800,15,79.07,3589.71,0.638,0.628,AISI 1010 carbon steel,3015.0,3.54,Good,,1.266,0.628,1728.2780833340457
74,80,1000,0,105.43,2978.53,0.632,0.629,AISI 1010 carbon steel,3321.3,3.62,Good,,1.261,0.629,1731.0301184985906
328,60,800,15,78.92,3274.49,0.621,0.629,AISI 1010 carbon steel,3037.2,3.6,Good,,1.25,0.621,1709.013837182233
349,60,600,15,92.26,3510.74,0.626,0.622,AISI 1010 carbon steel,3088.6,3.54,Explode,,1.248,0.622,1711.7658723467775
463,60,1200,15,96.28,3206.02,0.623,0.627,AISI 1010 carbon steel,3186.7,4.06,Good,,1.25,0.623,1714.5179075113228
241,60,1000,15,76.65,2924.33,0.638,0.634,AISI 1010 carbon steel,3219.6,3.46,Good,,1.272,0.634,1744.7902943213132
299,60,800,15,75.21,3427.45,0.631,0.615,AISI 1010 carbon steel,3039.6,3.3,Good,,1.246,0.615,1692.5016261949654
271,60,1000,15,77.74,4452.85,0.647,0.64,AISI 1010 carbon steel,3151.2,3.65,Good,,1.287,0.64,1761.3025053085817
247,60,1000,15,76.31,3842.87,0.644,0.631,AISI 1010 carbon steel,3242.3,3.55,Good,,1.275,0.631,1736.5341888276796
376,60,600,15,93.84,3749.08,0.619,0.634,AISI 1010 carbon steel,3033.0,3.3,Good,,1.253,0.619,1703.509766853144
440,60,1200,15,95.04,3106.84,0.631,0.632,AISI 1010 carbon steel,3222.6,3.81,Good,,1.263,0.631,1736.5341888276796
245,60,1000,15,73.41,3506.82,0.641,0.633,AISI 1010 carbon steel,3124.5,3.66,Good,,1.274,0.633,1742.038259156769
46,60,1000,0,77.78,3348.76,0.63,0.631,AISI 1010 carbon steel,3158.6,3.65,Good,,1.261,0.63,1733.782153663135
249,60,1000,15,75.67,3490.11,0.631,0.635,AISI 1010 carbon steel,3172.9,4.19,Good,,1.266,0.631,1736.5341888276796
77,80,1000,0,106.34,3056.61,0.635,0.635,AISI 1010 carbon steel,2881.7,3.43,Good,,1.27,0.635,1747.5423294858583
384,60,600,15,95.61,3330.22,0.636,0.616,AISI 1010 carbon steel,3160.4,3.41,Good,,1.252,0.616,1695.2536613595103
355,60,600,15,94.45,3395.69,0.622,0.622,AISI 1010 carbon steel,2821.2,3.17,Good,,1.244,0.622,1711.7658723467775
149,80,600,0,107.57,2807.91,0.616,0.617,AISI 1010 carbon steel,2812.3,3.48,Good,,1.233,0.616,1695.2536613595103
281,60,1000,15,77.69,4528.68,0.617,0.62,AISI 1010 carbon steel,3117.3,3.68,Good,,1.237,0.617,1698.0056965240544
336,60,600,15,89.19,4297.96,0.624,0.627,AISI 1010 carbon steel,2948.0,3.22,Good,,1.251,0.624,1717.2699426758668
469,60,1200,0,96.79,4293.96,0.621,0.625,AISI 1010 carbon steel,2937.9,3.57,Good,,1.246,0.621,1709.013837182233
43,60,1000,0,77.39,2983.72,0.639,0.634,AISI 1010 carbon steel,3391.8,4.24,Good,,1.273,0.634,1744.7902943213132
248,60,1000,15,77.18,3952.31,0.635,0.635,AISI 1010 carbon steel,3121.5,3.52,Good,,1.27,0.635,1747.5423294858583
222,60,400,0,93.15,3222.07,0.636,0.641,AISI 1010 carbon steel,2750.7,3.43,Good,,1.277,0.636,1750.294364650403
257,60,1000,15,73.53,4023.05,0.633,0.629,AISI 1010 carbon steel,3163.4,3.29,Good,,1.262,0.629,1731.0301184985906
443,60,1200,15,94.98,3890.91,0.638,0.626,AISI 1010 carbon steel,2863.7,3.94,Good,,1.264,0.626,1722.774013004956
224,60,400,0,93.03,3401.76,0.614,0.628,AISI 1010 carbon steel,2649.6,3.6,Good,,1.242,0.614,1689.7495910304208
141,80,600,0,105.0,3010.69,0.618,0.622,AISI 1010 carbon steel,2813.5,3.3,Good,,1.24,0.618,1700.757731688599
151,80,600,0,107.74,3224.74,0.623,0.615,AISI 1010 carbon steel,2666.9,3.1,Good,,1.238,0.615,1692.5016261949654
40,60,1000,0,77.04,2992.93,0.637,0.626,AISI 1010 carbon steel,3256.1,4.57,Good,,1.263,0.626,1722.774013004956
335,60,800,15,80.3,3455.44,0.626,0.623,AISI 1010 carbon steel,3113.1,3.45,Good,,1.249,0.623,1714.5179075113228
442,60,1200,15,94.9,3394.17,0.624,0.631,AISI 1010 carbon steel,3158.6,3.58,Good,,1.255,0.624,1717.2699426758668
470,60,1200,0,97.29,4226.13,0.634,0.625,AISI 1010 carbon steel,3028.8,3.38,Good,,1.259,0.625,1720.021977840412
106,80,800,0,116.1,3162.81,0.639,0.637,AISI 1010 carbon steel,2702.2,3.34,Good,,1.276,0.637,1753.046399814948
177,80,600,0,108.11,3079.04,0.64,0.635,AISI 1010 carbon steel,2955.2,3.42,Good,,1.275,0.635,1747.5423294858583
370,60,600,15,94.39,4167.94,0.625,0.624,AISI 1010 carbon steel,2976.2,3.43,Good,,1.249,0.624,1717.2699426758668
292,60,800,15,75.04,4022.19,0.633,0.628,AISI 1010 carbon steel,2828.4,3.43,Good,,1.261,0.628,1728.2780833340457
71,80,1000,0,104.82,3291.78,0.626,0.624,AISI 1010 carbon steel,2964.2,3.52,Good,,1.25,0.624,1717.2699426758668
210,60,400,0,92.98,3047.6,0.636,0.632,AISI 1010 carbon steel,2714.8,3.7,Good,,1.268,0.632,1739.2862239922247
152,80,600,0,107.67,3523.46,0.623,0.618,AISI 1010 carbon steel,2680.1,2.98,Good,,1.241,0.618,1700.757731688599
